1.  Koja je od navedenih aktivnosti primjer političkoga djelovanja?
    A.   Turistička zajednica lobira za uređenje naselja.
    B.   Svećenik skuplja milodar za uređenje crkve.
    C.   Vatrogasci čiste odvodne kanale naselja.

2.  Ekološka udruga potpisima građana nastoji spriječiti općinsku odluku o izgradnji odlagališta velikoga otpada. Kako se naziva dokument koji građani potpisuju?
     A.  peticija
     B.  konvencija
     C.  interpelacija

3.  Na kojoj se razini vlasti u Republici Hrvatskoj donose zakoni?
     A.  samo na državnoj
     B.  samo na regionalnoj i državnoj
     C.  na lokalnoj, regionalnoj i državnoj

4.  Što je od navedenoga preduvjet sklapanja koalicije političkih stranaka u Republici Hrvatskoj za sastavljanje vlade?
    A.  objedinjeni stranački programi
    B.  dogovor o zajedničkome djelovanju
    C.  obvezatna suradnja na svim razinama vlasti

5.  Koji je stranački sustav svojstven Sjedinjenim Američkim Državama?
    A.  jednostranački
    B.  dvostranački
    C.  višestranački

6.  Koliko se ukupno zastupnika nacionalnih manjina bira na izborima za Hrvatski sabor?
     A.  tri
     B.  pet
     C.  osam

7.  Za koju bi od navedenih vrsta stranaka bio karakterističan iskaz Ključno je čuvanje poretka i tradicionalnih vrijednosti. Zbog toga treba stvoriti odgovornost i osnažiti obitelji koje će pomoći popraviti naše raspadnuto društvo?
     A.  za liberalnu stranku
     B.  za konzervativnu stranku
     C.  za socijaldemokratsku stranku

8.  Koji izborni sustav najbolje opisuje izjava Pobjednik uzima sve?
    A.   većinski
    B.   mješoviti
    C.   proporcionalni

9. Tko donosi zakone u suvremenim europskim ustavnim monarhijama?
    A.  vlada
    B.  monarh
    C.  parlament

10.  Radno tijelo koje institucije provodi postupak kandidiranja sudaca za Ustavni sud Republike Hrvatske?
     A.  Hrvatskoga sabora
     B.  Vlade Republike Hrvatske
     C.  Predsjednika Republike Hrvatske

11. Hrvatski sabor odbio je nacrt proračuna te proračun nije donesen ni četiri mjeseca nakon predlaganja nacrta. Mandat zastupnika Hrvatskoga sabora traje još samo šest mjeseci. Što u toj situaciji prema Ustavu Republike Hrvatske može učiniti Predsjednik Republike Hrvatske?
     A.  produžiti mandat zastupnicima Hrvatskoga sabora uredbom sa zakonskom snagom kako bi Hrvatski sabor imao vremena izglasati proračun
     B.  raspustiti Hrvatski sabor na prijedlog Vlade Republike Hrvatske i uz supotpis predsjednika Vlade Republike Hrvatske nakon savjetovanja s predstavnicima klubova zastupnika
     C.  nije ovlašten djelovati jer se ne radi o izvanrednome stanju kako je ono definirano Ustavom Republike Hrvatske

12.  Što prema Ustavu Republike Hrvatske može učiniti pet zastupnika Hrvatskoga sabora koji su nezadovoljni radom Vlade Republike Hrvatske?
     A.  pokrenuti pitanje povjerenja Vladi Republike Hrvatske
     B.  podnijeti interpelaciju o radu Vlade Republike Hrvatske
     C.  postaviti zastupničko pitanje Vladi Republike Hrvatske o njezinu radu

13. Što će prema Ustavu Republike Hrvatske učiniti Ustavni sud Republike Hrvatske ako ocijeni da je određeni zakon neustavan?
     A.  ukinuti zakon
     B.  ponuditi mišljenje za doradu zakona
     C.  vratiti zakon Hrvatskomu saboru na doradu

14.  Kojoj osobi Predsjednik Republike Hrvatske daje ovlast predlaganja sastava Vlade Republike Hrvatske nakon održanih izbora?
     A.  premijeru
     B.  mandataru
     C.  predsjedniku Hrvatskoga sabora

15.  Koji je od navedenih tipova suradnje Republike Hrvatske zabranjen Ustavom Republike Hrvatske?
     A.  udruživanje u međunarodne vojne saveze u kojima sudjeluju i države bivše Jugoslavije
     B.  udruživanje u međunarodne organizacije u kojima sudjeluju i države bivše Jugoslavije
     C.  udruživanje u federaciju država koju čine samo države bivše Jugoslavije

16.  U kojim hrvatskim izborima prema Ustavu Republike Hrvatske mogu sudjelovati europski državljani koji imaju prebivalište u Republici Hrvatskoj?
