1.	Koje je doslovno značenje grčke riječi politeia?
A.	grad
B.	država
C.	zajednica

2.	Španjolski predsjednik Francisco Franco preuzeo je vlast državnim udarom 1936. godine te zatim donio zakone na temelju kojih je vladao. Što karakterizira njegovu vlast?
A.	legalnost uz nedostatak legitimnosti
B.	legitimnost uz nedostatak legalnosti
C.	nedostatak i legitimnosti i legalnosti

3.	Koja je vojna organizacija nastala nakon Drugoga svjetskog rata kako bi se kontrolirala poražena Njemačka i spriječilo širenje sovjetske prijetnje?
A.	Vijeće sigurnosti Ujedinjenih naroda (UNSC)
B.	Organizacija Sjevernoatlantskoga ugovora (NATO)
C.	Zaštitne snage Ujedinjenih naroda (UNPROFOR)

4.	Birači Republike Hrvatske su 1. prosinca 2013. godine mogli iskazati svoj stav o pitanju braka kao životne zajednice između žene i muškarca. Kako se naziva takvo političko izjašnjavanje građana?
A.	izbori
B.	peticija
C.	referendum

5.	U Dubrovniku je do 18. stoljeća zakonodavna vlast pripadala staleškomu plemstvu. Kako se naziva taj tip republike?
A.	aristokratska republika
B.	demokratska republika
C.	predsjednička republika

6.	Kako se naziva tip političkoga poretka u kojemu vlast neograničeno kontrolira sve oblike političkoga, društvenoga i privatnoga života građana?
A.	republika
B.	totalitarizam
C.	aristokracija

7.	Kako se naziva teritorijalno cjelovita država s centraliziranom i jedinstvenom državnom upravom?
A.	unitarna
B.	federativna
C.	konfederativna

8.	U kojemu se demokratskom sustavu vlasti na čelu izvršne vlasti nalazi predsjednik republike, a parlament kontrolira rad izvršne vlasti, ali nema pravo smijeniti i onemogućavati rad predsjednika?
A.	u parlamentarnome
B.	u predsjedničkome
C.	u polupredsjedničkome

9.	Kako se naziva politički poredak u kojemu zakone proglašava kralj, a izabrani predstavnici građana vladaju na opću korist svih građana?
A.	ustavna monarhija
B.	apsolutna monarhija
C.	parlamentarna republika

10.	Koji je sustav vlasti uveden u Republici Hrvatskoj na temelju ustavnoga načela diobe vlasti iz 1990. godine?
A.	predsjednički
B.	parlamentarni
C.	polupredsjednički

11.	Tko prema Ustavu Republike Hrvatske proglašava promjenu Ustava Republike Hrvatske?
A.	Hrvatski sabor
B.	Vlada Republike Hrvatske
C.	Predsjednik Republike Hrvatske

12.	Što izabrani Predsjednik Republike Hrvatske mora prema Ustavu Republike Hrvatske učiniti sa svojim članstvom u političkoj stranci nakon izbora?
A.	nastaviti aktivno članstvo
B.	staviti članstvo u mirovanje
C.	podnijeti ostavku na članstvo

13.	Kojom većinom prema Ustavu Republike Hrvatske Hrvatski sabor donosi državni proračun?
A.	običnom
B.	apsolutnom
C.	dvotrećinskom

14.	Tko prema Ustavu Republike Hrvatske potpisuje prihvat nekoga međunarodnog ugovora koji je prethodno potvrdio Hrvatski sabor i koji financijski obvezuje Republiku Hrvatsku?
A.	predsjednik Vlade Republike Hrvatske
B.	predsjednik Hrvatskoga sabora
C.	Predsjednik Republike Hrvatske

15.	Koju vrstu vlasti prema Ustavu Republike Hrvatske obnaša Vlada Republike Hrvatske?
A.	izvršnu
B.	sudbenu
C.	zakonodavnu

16.	Čije mišljenje prema Ustavu Republike Hrvatske treba prethodno zatražiti predsjednik Hrvatskoga sabora kada mora sazvati Sabor na izvanredno zasjedanje?
A.	predsjednika Vlade Republike Hrvatske
B.	Predsjednika Republike Hrvatske
C.	klubova zastupnika parlamentarnih stranaka

17.	Kojoj generaciji ljudskih prava pripada pravo na rad?
A.	prvoj
B.	drugoj
C.	trećoj

18.	Koje od navedenih prava prema Ustavu Republike Hrvatske može Hrvatska ograničiti zakonom zbog nužne zaštite njezina pravnog poretka?
A.	pravo na pravično suđenje
B.	pravo na slobodu vjeroispovijesti
C.	pravo kretanja na teritoriju Republike Hrvatske

19.	Koje od navedenih ekonomskih područja proučava mikroekonomija?
A.	gospodarski rast
B.	ukupnu zaposlenost
C.	ponašanje potrošača

20.	Na koje temeljno ekonomsko pitanje odgovara poduzetnik koji se u procesu proizvodnje koristi obnovljivim izvorima energije?
A.	Što proizvoditi?
B.	Kako proizvoditi?
C.	Za koga proizvoditi?

21.	Kako se nazivaju dobra koja su neograničena i besplatna te nisu rezultat gospodarske aktivnosti?
A.	slobodna dobra
B.	potrošačka dobra
C.	ekonomska dobra

22.	Kako se naziva snižavanje vrijednosti hrvatske kune u odnosu na druge valute intervencijom centralne banke?
A.	revalvacija
B.	devalvacija
C.	deprecijacija

23.	Hrvatski iznajmljivači smještajnih kapaciteta dužni su plaćati porez na dohodak od 300,00 kuna po krevetu u naselju razreda A, neovisno o visini prihoda koje ostvaruju kroz cijelu godinu. Kako se naziva opisani način oporezivanja?
A.	paušalno oporezivanje
B.	progresivno oporezivanje
C.	proporcionalno oporezivanje

24.	Kako se naziva obveznica koja se izdaje kao protuvrijednost za primljeni zajam, a dospijeva na naplatu u roku od jedne do deset godina?
A.	kratkoročna
B.	srednjoročna
C.	dugoročna

25.	U kojemu gospodarskom sustavu država odlučuje što, kako i za koga proizvoditi?
A.	u tržišnome gospodarstvu
B.	u mješovitome gospodarstvu
C.	u komandnome gospodarstvu

26.	Kazalište je odlučilo samo umirovljenicima ponuditi niže cijene ulaznica za novogodišnji koncert. Kako se nazivaju te vrste cijena?
A.	redovne
B.	jedinstvene
C.	diferencirane

27.	Kako se naziva oblik poslovanja u kojemu, npr. potomci generacijama obrađuju poljoprivredne površine, prevoze urod do veletržnice i koordiniraju sve aktivnosti poslovanja?
A.	franšiza
B.	obiteljski posao
C.	početak od nule

28.	Koje vještine omogućuju menadžeru da komunicira s pojedincima i grupama te da ih motivira i vodi ka ostvarenju poslovnih ciljeva?
A.	tehničke
B.	socijalne
C.	konceptualne

29.	Kako se naziva era u povijesti poslovanja u kojoj se poslovne organizacije u potpunosti orijentiraju na zadovoljavanje želja i potreba kupaca?
A.	prodajna
B.	proizvodna
C.	marketinška

30.	Koja institucija kontrolira državu u ispunjavanju preuzetih financijskih obveza prema inozemstvu?
A.	Svjetska banka (WB)
B.	Međunarodni monetarni fond (IMF)
C.	Svjetska trgovinska organizacija (WTO)

31.	Koje je ime politologa novoga vijeka čije je glavno djelo Vladar, a koji politiku tumači kao vještinu upravljanja državom?

32.	Većina je građana u Narodnoj Republici Kini politički pasivna i ne osjeća se povezano s političkim sustavom te smatra da jedino država odlučuje o svemu. Koji tip političke kulture opisuje navedeni primjer?

33.	Kako se prema Maxu Weberu naziva tip vlasti britanske kraljice Elizabete II.?

34.	U kojim institucijama hrvatski državljanin s trenutačnim prebivalištem u Republici Austriji može ostvariti svoje biračko pravo na izborima za Hrvatski sabor?

35.	Kako se nazivaju parlamentarne stranke koje nisu ušle u vladajuću koaliciju?

36.	Koliko dana prije izbora prema izbornim pravilima u Republici Hrvatskoj završava izborna kampanja te započinje izborna šutnja?

37.	Koji tip političkih stranaka prema programskoj i ideološkoj orijentaciji zagovara očuvanje tradicionalnoga vrijednosnog sustava, a istodobno se zalaže za provođenje neoliberalne ekonomske politike?

38.	Kako se u razmjernome izbornom sustavu naziva metoda izračuna zastupničkih mandata kojom se broj dobivenih glasova pojedinih stranaka dijeli s brojevima 1, 2, 3... sve dok se ne popune svi mandati za određenu izbornu jedinicu?

39.	Koji događaj u Europi 1989. godine simbolizira kraj komunističkoga sustava i početak političkih i ekonomskih promjena?

40. Koje tijelo prema Ustavu Republike Hrvatske bira suce Ustavnoga suda?

41.	U kojemu se roku prema Ustavu Republike Hrvatske nakon provedenih parlamentarnih izbora mora održati prvo zasjedanje Hrvatskoga sabora?

42.	Tko prema Ustavu Republike Hrvatske uz Vladu Republike Hrvatske, klubove zastupnika i radna tijela Hrvatskoga sabora ima pravo predlagati zakone?

43.	Kojoj se instituciji prema Ustavu Republike Hrvatske osim pravosudnim tijelima može obratiti građanin koji smatra da su tijela javne vlasti povrijedila njegova zakonska prava?

44.	Prema Ustavu Republike Hrvatske koliko je najmanje zastupnika potrebno za podnošenje interpelacije o radu Vlade Republike Hrvatske?

45. Kojoj razini samouprave prema Ustavu Republike Hrvatske pripadaju županije?

46.	Koji je prema Ustavu Republike Hrvatske najduži rok na koji Hrvatski sabor može ovlastiti Vladu Republike Hrvatske da uredbama uređuje pojedina pitanja iz njegova djelokruga izuzev pitanja organskih zakona?

47.	Svakih koliko se godina održavaju izbori za zastupnike u Europskome parlamentu?

48.	Kako se naziva zabrana prikazivanja televizijskoga sadržaja za koji je vladajuća politička stranka procijenila da narušava njezin ugled?

49.	Kako se naziva cijena koju poduzetnik treba platiti za korištenje tuđega poslovnog prostora?

50.	Kako se naziva kamatna stopa koju središnja banka zaračunava poslovnim bankama za plasirane kredite?

51.	Kojom se vrstom javne potrošnje služi država kada nezaposlenim građanima isplaćuje pomoć u obliku naknade za nezaposlene?

52.	Kako se naziva tržišna struktura u kojoj je država jedini kupac električnih vlakova?

53.	Kako se naziva ukupna količina dobara i usluga koja se nudi na razini cjelokupnoga gospodarstva na tržištu u određenome vremenu po određenim cijenama?

